"penalty_weight","instance","bart_best","ga_best","optimality_gap","feasibility_pct","n_feasible","n_total","x_best"
5,1,13038491,13277720,1.80173252636748,85.3846153846154,222,260,"000100111100001110100110"
5,2,13142086,13299072,1.18042822837563,76.1538461538461,198,260,"110001000110110110010111"
5,3,13061046,13280458,1.65214181619339,86.5384615384615,225,260,"110001101111100000100011"
5,4,13207862,13278279,0.53031721957341,72.6923076923077,189,260,"110010100100001111100111"
5,5,13106623,13389478,2.11251700775788,77.3076923076923,201,260,"110011100010110111001100"
5,6,12907721,12989220,0.627435673581632,84.6153846153846,220,260,"111011010010000110011011"
5,7,13075500,13256022,1.36181125830962,74.2307692307692,193,260,"100101100110001111110001"
5,8,13263031,13407437,1.07705894870138,77.6923076923077,202,260,"000011101110010110100011"
5,9,13151135,13262453,0.839346989580284,84.2307692307692,219,260,"100111101110000100100001"
5,10,13099387,13268534,1.27479795431809,77.6923076923077,202,260,"010110111110001010010010"
