"penalty_weight","bart_best_mean","bart_best_sd","ga_best_mean","ga_best_sd","optimality_gap_mean","optimality_gap_sd","feasibility_pct_mean","feasibility_pct_sd","n_feasible_mean","n_instances_with_feasible"
0.1,12994400.7,106295.827251695,13270867.3,112215.561308532,2.07478554529154,1.34009719205526,61.6153846153846,3.11303594067204,160.2,10
1,13104266.3,162631.009585127,13270867.3,112215.561308532,1.25161930726314,1.27414952102425,76.0769230769231,5.24796068842415,197.8,10
2,13155211,107658.892793654,13270867.3,112215.561308532,0.863730787541323,1.29469879915827,78.5,4.39820207125208,204.1,10
5,13105288.2,97317.4427494315,13270867.3,112215.561308532,1.24575876227588,0.50902014839765,79.6538461538462,5.04564959957158,207.1,10
10,13045390.8,111641.117669074,13270867.3,112215.561308532,1.69641377507751,0.761096599671883,79.1153846153846,3.72920488834776,205.7,10
