"Method","N_reps","Mean_best","SD_best","Min_best","Max_best","Mean_eval","Mean_sec"
"BART-BO",10,-43.4407,6.6578,-54.4943,-34.8096,270,263164
"DART-BO",10,-45.7701,4.7089,-54.1261,-38.3795,270,36911.9
"Pure-GA",10,-49.9281,4.952,-57.9229,-41.8883,32302,1.4
