"penalty_weight","n_tasks","n_with_feasible","bart_best_mean","bart_best_sd","ga_best_mean","ga_best_sd","optimality_gap_mean","optimality_gap_sd","feasibility_pct_mean","feasibility_pct_sd","bart_true_evals_mean","bart_true_evals_sd","ga_true_evals_mean","ga_true_evals_sd","bart_wall_sec_mean"
"0.1",10,10,13021452.6,116866.016669803,13350446.2,75390.2207006246,2.46092498300817,1.09282179367538,60.2307692307692,4.83181979974955,260,0,3835.5,47.6800680461856,71981.2196
"1",10,10,13021858.8,137380.17222357,13350446.2,75390.2207006246,2.46037511618976,0.97128654814729,75.3076923076923,2.84834750297411,260,0,3835.5,47.6800680461856,60074.2808
"2",10,10,13066673.4,157427.078448828,13350446.2,75390.2207006246,2.12103088717441,1.43722886932317,75.8846153846154,4.82109243651206,260,0,3835.5,47.6800680461856,64618.6538
"5",10,10,13140339.1,114823.395762023,13350446.2,75390.2207006246,1.5703878662075,1.08172706025033,76.9230769230769,3.75095867649431,260,0,3835.5,47.6800680461856,64071.8975
"10",10,10,13006128.4,188191.887398769,13350446.2,75390.2207006246,2.57601148295714,1.52787579894501,76.1153846153846,3.20487178461457,260,0,3835.5,47.6800680461856,66880.3328
