"generation","best_feasible","penalty_weight","instance","seed"
1,13001437,10,10,1010
2,13001437,10,10,1010
3,13001437,10,10,1010
4,13112423,10,10,1010
5,13112423,10,10,1010
6,13112423,10,10,1010
7,13112423,10,10,1010
8,13112423,10,10,1010
9,13112423,10,10,1010
10,13112423,10,10,1010
11,13112423,10,10,1010
12,13112423,10,10,1010
13,13112423,10,10,1010
14,13112423,10,10,1010
15,13112423,10,10,1010
16,13112423,10,10,1010
17,13112423,10,10,1010
18,13112423,10,10,1010
19,13112423,10,10,1010
20,13112423,10,10,1010
21,13112423,10,10,1010
22,13112423,10,10,1010
23,13112423,10,10,1010
24,13112423,10,10,1010
25,13112423,10,10,1010
26,13112423,10,10,1010
27,13231651,10,10,1010
28,13231651,10,10,1010
29,13231651,10,10,1010
30,13231651,10,10,1010
31,13231651,10,10,1010
32,13231651,10,10,1010
33,13231651,10,10,1010
34,13231651,10,10,1010
35,13231651,10,10,1010
36,13231651,10,10,1010
37,13231651,10,10,1010
38,13231651,10,10,1010
39,13231651,10,10,1010
40,13231651,10,10,1010
41,13231651,10,10,1010
42,13231651,10,10,1010
43,13231651,10,10,1010
44,13298855,10,10,1010
45,13298855,10,10,1010
46,13298855,10,10,1010
47,13298855,10,10,1010
48,13298855,10,10,1010
49,13298855,10,10,1010
50,13298855,10,10,1010
51,13298855,10,10,1010
52,13298855,10,10,1010
53,13298855,10,10,1010
54,13298855,10,10,1010
55,13298855,10,10,1010
56,13298855,10,10,1010
57,13298855,10,10,1010
58,13298855,10,10,1010
59,13298855,10,10,1010
60,13298855,10,10,1010
61,13298855,10,10,1010
62,13298855,10,10,1010
63,13298855,10,10,1010
64,13368521,10,10,1010
65,13368521,10,10,1010
66,13368521,10,10,1010
67,13368521,10,10,1010
68,13368521,10,10,1010
69,13368521,10,10,1010
70,13368521,10,10,1010
71,13368521,10,10,1010
72,13368521,10,10,1010
73,13368521,10,10,1010
74,13368521,10,10,1010
75,13368521,10,10,1010
76,13368521,10,10,1010
77,13368521,10,10,1010
78,13368521,10,10,1010
79,13368521,10,10,1010
80,13368521,10,10,1010
81,13368521,10,10,1010
82,13368521,10,10,1010
83,13368521,10,10,1010
84,13368521,10,10,1010
85,13368521,10,10,1010
86,13368521,10,10,1010
87,13368521,10,10,1010
88,13368521,10,10,1010
89,13368521,10,10,1010
90,13368521,10,10,1010
91,13368521,10,10,1010
92,13368521,10,10,1010
93,13368521,10,10,1010
94,13368521,10,10,1010
95,13368521,10,10,1010
96,13368521,10,10,1010
97,13368521,10,10,1010
98,13368521,10,10,1010
99,13368521,10,10,1010
100,13368521,10,10,1010
