"iteration","coverage","feasible","violation","best_cov_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
0,907041,0,6,NA,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
0,873503,0,3,NA,2,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0
0,892586,0,4,NA,3,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0
0,879539,0,4,NA,4,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1
0,926003,0,5,NA,5,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0
0,826075,0,1,NA,6,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,876488,0,4,NA,7,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1
0,918561,0,3,NA,8,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
0,822198,0,6,NA,9,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1
0,891457,0,7,NA,10,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1
1,736680,1,0,736680,11,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
2,736680,1,0,736680,12,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
3,736680,1,0,736680,13,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
4,736680,1,0,736680,14,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
5,736680,1,0,736680,15,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
6,736680,1,0,736680,16,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
7,736680,1,0,736680,17,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
8,804671,0,2,736680,18,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
9,889647,0,3,736680,19,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0
10,848788,0,1,736680,20,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
11,714736,1,0,736680,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
12,843596,0,1,736680,22,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
13,820218,0,3,736680,23,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0
14,481368,1,0,736680,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,846676,0,5,736680,25,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1
16,736680,1,0,736680,26,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
17,800212,1,0,800212,27,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
18,719872,1,0,800212,28,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
19,800212,1,0,800212,29,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
20,800212,1,0,800212,30,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
21,742821,1,0,800212,31,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
22,687283,1,0,800212,32,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
23,554616,1,0,800212,33,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
24,819785,1,0,819785,34,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
25,531019,1,0,819785,35,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
26,819785,1,0,819785,36,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
27,718695,1,0,819785,37,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
28,794019,0,1,819785,38,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
29,736680,1,0,819785,39,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
30,718695,1,0,819785,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
31,765253,1,0,819785,41,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
32,736680,1,0,819785,42,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
33,449045,1,0,819785,43,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
34,561184,1,0,819785,44,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
35,819785,1,0,819785,45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
36,787160,1,0,819785,46,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
37,819785,1,0,819785,47,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
38,712502,1,0,819785,48,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
39,819785,1,0,819785,49,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
40,712968,1,0,819785,50,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
41,819785,1,0,819785,51,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
42,819785,1,0,819785,52,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
43,819785,1,0,819785,53,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
44,819785,1,0,819785,54,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
45,819785,1,0,819785,55,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
46,819785,1,0,819785,56,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
47,819785,1,0,819785,57,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
48,660833,1,0,819785,58,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
49,819785,1,0,819785,59,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
50,819785,1,0,819785,60,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
51,823679,1,0,823679,61,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
52,823679,1,0,823679,62,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
53,794019,1,0,823679,63,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
54,823679,1,0,823679,64,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
55,576597,1,0,823679,65,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
56,823679,1,0,823679,66,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
57,823679,1,0,823679,67,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
58,797913,1,0,823679,68,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
59,779622,1,0,823679,69,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
60,823679,1,0,823679,70,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
61,823679,1,0,823679,71,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
62,828298,1,0,828298,72,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
63,730456,1,0,828298,73,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
64,828298,1,0,828298,74,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
65,793464,1,0,828298,75,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
66,828298,1,0,828298,76,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
67,828298,1,0,828298,77,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
68,828298,1,0,828298,78,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
69,828298,1,0,828298,79,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
70,769293,1,0,828298,80,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
71,828298,1,0,828298,81,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
72,828298,1,0,828298,82,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
73,809857,1,0,828298,83,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
74,739329,1,0,828298,84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
75,828298,1,0,828298,85,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
76,832192,1,0,832192,86,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
77,561510,1,0,832192,87,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
78,805867,1,0,832192,88,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
79,832192,1,0,832192,89,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
80,832192,1,0,832192,90,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
81,809110,1,0,832192,91,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
82,788706,1,0,832192,92,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
83,738090,1,0,832192,93,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
84,833321,1,0,833321,94,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
85,829427,1,0,833321,95,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
86,832063,1,0,833321,96,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
87,832192,1,0,833321,97,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
88,833321,1,0,833321,98,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
89,833321,1,0,833321,99,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
90,790852,1,0,833321,100,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
91,829427,1,0,833321,101,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
92,832063,1,0,833321,102,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
93,832192,1,0,833321,103,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
94,832063,1,0,833321,104,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
95,833321,1,0,833321,105,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
96,729862,1,0,833321,106,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
97,832063,1,0,833321,107,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
98,833321,1,0,833321,108,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
99,833321,1,0,833321,109,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
100,833321,1,0,833321,110,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
101,833321,1,0,833321,111,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
102,712793,1,0,833321,112,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
103,845885,1,0,845885,113,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
104,845885,1,0,845885,114,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
105,845885,1,0,845885,115,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
106,808826,1,0,845885,116,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
107,845885,1,0,845885,117,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
108,728337,1,0,845885,118,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
109,839379,0,1,845885,119,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
110,808826,0,1,845885,120,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
111,811462,1,0,845885,121,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
112,884866,0,1,845885,122,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
113,859945,0,1,845885,123,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
114,787734,1,0,845885,124,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115,724255,1,0,845885,125,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
116,912692,0,2,845885,126,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
117,845885,1,0,845885,127,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
118,809711,1,0,845885,128,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
119,862943,0,2,845885,129,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
120,731306,1,0,845885,130,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
121,830344,1,0,845885,131,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
122,770139,0,1,845885,132,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
123,816163,0,1,845885,133,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
